Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2019-10-28 12:29:21.000000000;2019-10-31 23:59:00.000000000;30.0;3
2019-10-28 12:29:50.000000000;2019-10-31 23:59:00.000000000;269.0;N
2019-10-28 12:29:21.000000000;2019-11-30 23:59:00.000000000;30.0;3
2019-10-28 12:29:50.000000000;2019-11-30 23:59:00.000000000;269.0;N
2019-10-28 12:29:21.000000000;2019-12-31 23:59:00.000000000;30.0;3
2019-10-28 12:29:50.000000000;2019-12-26 08:16:35.000000000;269.0;N
2019-10-28 12:29:21.000000000;2020-01-31 23:59:00.000000000;30.0;3
2019-10-28 12:29:21.000000000;2020-02-19 19:42:28.000000000;30.0;3
2020-02-19 19:42:28.000000000;2020-03-31 23:59:00.000000000;30.0;3
2020-02-19 19:42:28.000000000;2020-04-30 23:59:00.000000000;30.0;3
2020-02-19 19:42:28.000000000;2020-05-31 21:59:00.000000000;30.0;3
2019-10-28 12:29:21.000000000;2020-06-03 16:48:10.000000000;30.0;3
2020-07-29 09:46:02.000000000;2020-07-31 23:53:00.000000000;92.0;N
2020-07-29 09:46:02.000000000;2020-08-14 18:34:00.000000000;92.0;N
2020-07-29 09:46:02.000000000;2020-09-27 20:51:29.000000000;92.0;N
2020-11-27 13:21:49.000000000;2020-11-30 23:44:00.000000000;33.0;2
2020-11-27 13:21:49.000000000;2020-12-21 13:42:06.000000000;33.0;2
2020-12-21 13:42:43.000000000;2020-12-31 23:41:00.000000000;75.0;N
2020-12-21 13:42:43.000000000;2020-12-31 23:41:00.000000000;255.0;N
2020-11-27 13:21:49.000000000;2021-01-29 12:02:40.000000000;33.0;2
2020-12-21 13:42:43.000000000;2021-01-31 23:46:00.000000000;75.0;N
2020-12-21 13:42:43.000000000;2021-01-31 23:46:00.000000000;255.0;N
2020-12-21 13:42:43.000000000;2021-02-17 11:10:48.000000000;75.0;N
2021-02-17 11:10:32.000000000;2021-02-28 23:41:00.000000000;183.0;3
2020-12-21 13:42:43.000000000;2021-02-17 11:10:48.000000000;255.0;N
2021-02-17 11:10:48.000000000;2021-03-11 07:23:48.000000000;75.0;N
2021-02-17 11:10:32.000000000;2021-03-25 03:56:18.000000000;183.0;3
2021-02-17 11:10:48.000000000;2021-03-11 07:23:41.000000000;255.0;N
2021-03-11 07:23:48.000000000;2021-04-30 23:43:00.000000000;75.0;N
2021-02-17 11:10:32.000000000;2021-04-21 17:07:46.000000000;183.0;3
2021-03-11 07:23:41.000000000;2021-04-22 12:17:57.000000000;255.0;N
2021-03-11 07:23:48.000000000;2021-05-02 20:57:47.000000000;75.0;N
2021-04-22 12:17:57.000000000;2021-05-26 12:57:09.000000000;255.0;N
2020-12-21 13:42:43.000000000;2021-06-08 16:06:20.000000000;75.0;N
2020-12-21 13:42:43.000000000;2021-06-08 12:14:19.000000000;255.0;N
2021-10-12 02:15:43.000000000;2021-10-31 23:59:00.000000000;33.0;3
2021-10-12 02:15:43.507083600;2022-01-08 03:19:08.466910600;33.133508610610015;3
2021-10-12 02:15:43.507083600;2022-01-08 03:19:08.466910600;33.13337254581276;3
2021-10-12 02:15:43.507083600;2022-01-08 03:19:08.466910600;33.133508610610015;3
2022-01-20 12:47:33.494970000;;1266.607340196008;N
2022-01-20 12:47:33.494970000;2022-02-14 09:55:09.914866400;1266.607354128178;N
2022-02-14 09:55:09.937776600;;1266.607354128178;N
2022-02-14 09:55:13.123705200;;66.97171048141604;N
2022-02-14 09:55:13.223439900;;252.30489251823158;N
2022-02-14 09:55:09.937776600;2022-03-04 09:05:19.908975600;1267.5972317426538;N
2022-02-14 09:55:13.123705200;;64.02867185729595;N
2022-02-14 09:55:13.223439900;;249.91466172277126;N
2022-03-04 09:05:19.924674100;;1267.5972317426538;N
2022-03-04 09:06:01.893560500;;28.675235532909856;2
