Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2018-12-07 12:08:21.000000000;2018-12-30 23:34:23.000000000;582.0;3
2018-12-07 12:08:18.000000000;2018-12-31 23:59:00.000000000;965.0;3
2018-12-30 23:34:23.000000000;2019-01-31 23:59:00.000000000;582.0;3
2018-12-07 12:08:18.000000000;2019-01-31 23:59:00.000000000;965.0;3
2018-12-07 12:08:21.000000000;2019-02-06 17:46:03.000000000;582.0;3
2018-12-07 12:08:18.000000000;2019-02-28 23:59:00.000000000;965.0;3
2018-12-07 12:08:18.000000000;2019-03-31 23:59:00.000000000;965.0;3
2018-12-07 12:08:18.000000000;2019-04-30 23:59:00.000000000;965.0;3
2018-12-07 12:08:18.000000000;2019-05-31 23:59:00.000000000;965.0;3
2018-12-07 12:08:18.000000000;2019-06-04 08:18:04.000000000;965.0;3
2019-07-23 11:58:01.000000000;2019-07-31 23:59:00.000000000;888.0;N
2018-12-07 12:08:18.000000000;2019-07-27 07:46:12.000000000;965.0;3
2019-07-23 11:58:01.000000000;2019-08-28 09:52:17.000000000;888.0;N
2019-08-28 09:52:17.000000000;2019-09-16 15:07:34.000000000;888.0;N
2019-09-16 15:07:30.000000000;2019-09-30 23:59:00.000000000;955.0;3
2019-07-23 11:58:01.000000000;2019-10-23 09:46:00.000000000;888.0;N
2019-09-16 15:07:30.000000000;2019-10-31 23:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2019-11-30 23:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2019-12-31 23:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2020-01-31 23:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2020-02-29 23:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2020-03-31 23:41:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2020-04-30 23:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2020-05-31 21:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2020-06-30 23:59:00.000000000;955.0;3
2019-09-16 15:07:30.000000000;2020-07-22 00:49:40.000000000;955.0;3
2020-09-08 15:49:34.000000000;2020-09-30 23:47:00.000000000;976.0;3
2020-09-08 15:49:34.000000000;2020-10-31 23:47:00.000000000;976.0;3
2020-09-08 15:49:34.000000000;2020-11-30 23:48:00.000000000;976.0;3
2020-09-08 15:49:34.000000000;2020-12-31 23:44:00.000000000;976.0;3
2020-09-08 15:49:34.000000000;2021-01-31 23:49:00.000000000;977.0;3
2020-09-08 15:49:34.000000000;2021-02-28 23:40:00.000000000;976.0;3
2021-03-03 08:45:49.000000000;2021-03-26 03:26:14.000000000;66.0;N
2021-03-16 03:49:15.000000000;2021-03-26 03:26:03.000000000;567.0;3
2021-03-03 08:44:35.000000000;2021-03-16 03:49:15.000000000;567.0;N
2021-03-24 07:51:17.000000000;2021-03-31 23:44:00.000000000;582.0;N
2021-03-03 08:44:40.000000000;2021-03-24 07:51:23.000000000;600.0;N
2021-03-24 07:51:54.000000000;2021-03-31 23:44:00.000000000;690.0;3
2020-09-08 15:49:34.000000000;2021-03-24 07:51:02.000000000;976.0;3
2021-03-03 08:45:49.000000000;2021-04-08 08:21:58.000000000;66.0;N
2021-03-26 03:26:03.000000000;2021-04-26 09:11:22.000000000;567.0;3
2021-03-24 07:51:17.000000000;2021-04-26 09:10:19.000000000;582.0;N
2021-03-24 07:51:23.000000000;2021-04-26 09:10:28.000000000;600.0;N
2021-03-24 07:51:54.000000000;2021-04-09 03:41:59.000000000;690.0;3
2020-09-08 15:49:34.000000000;2021-04-27 14:10:01.000000000;976.0;3
2021-03-16 03:49:15.000000000;2021-05-21 09:11:09.000000000;567.0;3
2021-03-03 08:44:35.000000000;2021-05-21 09:11:09.000000000;567.0;N
2021-03-24 07:51:17.000000000;2021-05-26 12:14:42.000000000;582.0;N
2021-03-03 08:44:40.000000000;2021-05-22 10:32:47.000000000;600.0;N
2021-04-09 03:41:59.000000000;2021-05-31 23:50:00.000000000;690.0;3
2021-05-03 08:43:54.000000000;2021-05-31 23:50:00.000000000;981.0;3
2021-03-24 07:51:54.000000000;2021-06-02 12:16:10.000000000;690.0;3
2021-05-03 08:43:54.000000000;2021-06-22 02:51:23.000000000;981.0;3
2021-06-22 02:51:23.000000000;2021-07-23 08:22:55.000000000;981.0;3
2021-07-23 08:22:55.000000000;2021-08-23 08:58:20.000000000;981.0;3
2021-09-27 04:54:56.000000000;2021-10-04 07:08:21.000000000;876.0;N
2021-09-27 04:54:51.000000000;2021-10-04 07:08:30.000000000;909.0;N
2021-08-23 08:58:20.000000000;2021-09-29 06:52:27.000000000;981.0;3
2021-10-21 07:20:48.000000000;2021-10-31 23:59:00.000000000;876.0;3
2021-09-27 04:54:56.000000000;2021-10-21 07:20:48.000000000;876.0;N
2021-10-21 07:21:01.000000000;2021-10-31 23:59:00.000000000;909.0;3
2021-09-27 04:54:51.000000000;2021-10-21 07:21:01.000000000;909.0;N
2021-09-29 06:52:27.000000000;2021-10-31 23:59:00.000000000;981.0;3
2021-09-27 04:54:51.484419800;2021-11-28 21:38:33.531875800;908.5455775642823;N
2021-09-27 04:54:56.484341600;2021-11-28 23:18:03.841177000;876.1646497248433;N
2021-09-29 06:52:27.532238200;;981.4363927153199;3
2021-10-04 07:08:21.559354600;2021-11-28 23:18:03.841177000;876.1646497248433;N
2021-10-04 07:08:30.934410400;2021-11-28 21:38:33.531875800;908.5455775642823;N
2021-10-21 07:20:48.862767700;2021-11-28 23:18:03.841177000;876.1646497248433;3
2021-10-21 07:21:01.176100800;2021-11-28 21:38:33.531875800;908.5455775642823;3
2021-11-16 06:09:09.555782200;2021-11-28 23:18:03.841177000;876.1646497248433;3
2021-11-16 06:09:20.884428700;2021-11-28 21:38:33.531875800;908.5455775642823;3
2021-09-29 06:52:27.532238200;;981.4326706152035;3
2021-09-29 06:52:27.532238200;;981.4363927153199;3
2022-01-14 05:50:02.559045900;;594.2253378089704;N
2021-09-29 06:52:27.532238200;;981.4326706152035;3
2022-01-14 05:50:02.559045900;;594.2136025251255;N
2022-02-16 09:29:28.872846600;;682.1972804855592;3
2021-09-29 06:52:27.532238200;2022-03-03 07:57:24.837324400;981.4357249885201;3
2022-01-14 05:50:02.559045900;2022-03-08 06:15:59.203523300;594.2232325556768;N
2022-02-16 09:29:28.872846600;2022-03-03 06:04:21.593330800;682.200295949661;3
2022-03-03 06:04:21.609032800;;682.200295949661;3
2022-03-03 07:57:24.868590900;;981.4357249885201;2
2022-03-08 06:15:59.219148600;;594.2232325556768;N
