Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2021-09-29 06:57:25.000000000;2021-09-30 23:59:00.000000000;1642.0;N
2021-09-29 06:57:25.000000000;2021-10-31 23:59:00.000000000;1642.0;N
2021-09-29 06:57:25.471521100;2021-11-27 23:38:38.650074500;1641.6927263451041;N
2021-12-06 08:54:17.660613000;2021-12-30 07:38:37.111838700;1834.190355103256;N
2021-12-06 08:54:24.755166100;2021-12-30 07:38:52.440105300;1981.1128299272143;N
2021-12-07 08:30:37.189271800;2021-12-30 07:37:41.002326900;2062.7781257315837;2
2021-12-30 07:37:41.002326900;;2062.7781257315837;2
2021-12-30 07:38:37.127527000;2022-02-16 06:53:00.926098100;1834.190355103256;N
2021-12-30 07:38:52.455668300;2022-02-16 06:51:58.013362600;1981.1128299272143;N
2021-12-30 07:37:41.002326900;;2062.7767274478283;2
2021-12-30 07:38:37.127527000;;1834.1898432786347;N
2021-12-30 07:38:52.455668300;;1981.1112839002699;N
2021-12-30 07:37:41.002326900;;2062.7781257315837;2
2021-12-30 07:38:37.127527000;2022-02-16 06:53:00.926098100;1834.190355103256;N
2021-12-30 07:38:52.455668300;2022-02-16 06:51:58.013362600;1981.1128299272143;N
2022-02-16 06:51:58.023455100;;1981.1128299272143;N
2022-02-16 06:53:00.941782900;;1834.190355103256;N
2022-02-16 06:53:08.473569900;;1711.6924113967013;N
2022-02-16 06:53:41.505141600;;2129.252701653504;N
2021-12-30 07:37:41.002326900;;2062.775018828864;2
2022-02-16 06:51:58.023455100;2022-03-08 05:54:00.354364700;1981.1093947479806;N
2022-02-16 06:53:00.941782900;;1834.189217859616;N
2022-02-16 06:53:08.473569900;;1711.6907817382917;N
2022-02-16 06:53:41.505141600;2022-03-08 05:54:06.448187200;2129.250807468709;N
2022-03-08 05:54:00.369888100;;1981.1093947479806;N
2022-03-08 05:54:06.463748600;;2129.250807468709;N
