Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2020-06-03 10:32:21.000000000;2020-06-30 23:59:00;1407.0;N
2020-06-03 10:32:20.000000000;2020-06-30 23:59:00;2277.0;N
2020-06-03 10:32:21.000000000;2020-07-31 23:59:00;1407.0;N
2020-06-03 10:32:20.000000000;2020-07-31 23:59:00;2277.0;N
2020-06-03 10:32:21.000000000;2020-08-31 23:59:00;1407.0;N
2020-06-03 10:32:20.000000000;2020-08-31 23:59:00;2277.0;N
2020-06-03 10:32:21.000000000;2020-09-30 23:59:00;1407.0;N
2020-06-03 10:32:20.000000000;2020-09-30 23:59:00;2277.0;N
2020-06-03 10:32:21.000000000;2020-10-31 23:59:00;1407.0;N
2020-06-03 10:32:20.000000000;2020-10-31 23:59:00;2278.0;N
2020-11-30 16:06:44.000000000;2020-11-30 23:51:00;616.0;N
2020-06-03 10:32:21.000000000;2020-11-30 23:51:00;1407.0;N
2020-06-03 10:32:20.000000000;2020-11-30 23:51:00;2278.0;N
2020-11-30 16:06:44.000000000;2020-11-30 23:51:00;3207.0;N
2020-11-30 16:06:44.000000000;2020-12-31 23:59:00;616.0;N
2020-06-03 10:32:21.000000000;2020-12-31 23:59:00;1407.0;N
2020-06-03 10:32:20.000000000;2020-12-31 23:59:00;2278.0;N
2020-11-30 16:06:44.000000000;2020-12-31 23:59:00;3207.0;N
2020-11-30 16:06:44.000000000;2021-01-31 23:51:00;616.0;N
2020-06-03 10:32:21.000000000;2021-01-31 23:51:00;1407.0;N
2020-06-03 10:32:20.000000000;2021-01-31 23:51:00;2278.0;N
2020-11-30 16:06:44.000000000;2021-01-31 23:51:00;3207.0;N
2020-11-30 16:06:44.000000000;;616.0;N
2020-06-03 10:32:21.000000000;;1407.0;N
2020-06-03 10:32:20.000000000;;2278.0;N
2020-11-30 16:06:44.000000000;;3207.0;N
2020-11-30 16:06:44.000000000;;616.0;N
2021-02-08 12:08:01.000000000;;1407.0;N
2021-02-08 12:08:01.000000000;;2278.0;N
2021-02-08 12:08:01.000000000;;3207.0;N
2021-03-23 07:27:04.000000000;2021-04-30 23:59:00;1407.0;N
2021-03-23 07:26:53.000000000;2021-04-30 23:59:00;2278.0;N
2021-03-26 08:18:20.000000000;2021-04-30 23:59:00;3207.0;N
2021-03-23 07:27:04.000000000;2021-05-31 23:59:00;1407.0;N
2021-03-23 07:26:53.000000000;2021-05-31 23:59:00;2278.0;N
2021-03-26 08:18:20.000000000;2021-05-31 23:59:00;3207.0;N
2021-03-23 07:27:04.000000000;2021-06-30 23:59:00;1407.0;N
2021-03-23 07:26:53.000000000;2021-06-30 23:59:00;2277.0;N
2021-03-26 08:18:20.000000000;2021-06-30 23:59:00;3207.0;N
2021-03-23 07:27:04.000000000;;1508.0;N
2021-07-02 07:48:16.000000000;;2265.0;N
2021-03-23 07:26:53.000000000;;2495.0;N
2021-03-26 08:18:20.000000000;;3409.0;N
2020-06-03 10:32:21.000000000;;1508.0;N
2021-07-02 07:48:16.000000000;;2265.0;N
2020-06-03 10:32:20.000000000;;2495.0;N
2020-11-30 16:06:44.000000000;;3409.0;N
2021-08-23 09:24:38.000000000;2021-09-30 23:59:00;2265.0;N
2021-08-23 09:24:38.000000000;2021-10-31 23:59:00;2265.0;N
2021-07-02 07:48:16.979234700;;2284.561845328892;N
2021-08-07 19:24:11.049337200;;2284.561845328892;N
2021-08-23 09:24:38.689835200;;2284.561845328892;N
2021-07-02 07:48:16.979234700;;2284.561845328892;N
2021-08-07 19:24:11.049337200;;2284.561845328892;N
2021-08-23 09:24:38.689835200;;2284.561845328892;N
2021-12-08 13:45:40.350117900;;2531.3739225207555;2
2021-12-08 13:45:49.355756700;;2284.561845328892;N
2021-12-21 15:38:49.802720600;;2531.3739225207555;2
2021-12-21 15:39:25.236146800;;2531.3739225207555;2
2021-12-21 15:39:25.236146800;;2531.3739225207555;2
2021-12-21 15:39:25.236146800;;2531.3739225207555;2
2021-12-21 15:39:25.236146800;;2531.3739225207555;2
