Date/time (UTC);Propagation time (ns)
2021-12-22 12:00:00;25744.590909089857
2021-12-22 13:00:00;25783.616666666974
2021-12-22 14:00:00;25827.583333334038
2021-12-22 15:00:00;25826.15833333377
2021-12-22 16:00:00;25827.700000000586
2021-12-22 17:00:00;25828.04166666791
2021-12-22 18:00:00;25826.68333333433
2021-12-22 19:00:00;25827.100000000693
2021-12-22 20:00:00;25828.42500000037
2021-12-22 21:00:00;25827.1250000006
2021-12-22 22:00:00;25828.175000001138
2021-12-22 23:00:00;25827.85833333444
2021-12-23 00:00:00;25827.533333334235
2021-12-23 01:00:00;25828.355932203864
2021-12-23 02:00:00;25829.135593220755
2021-12-23 03:00:00;25827.62500000036
2021-12-23 04:00:00;25828.61206896583
2021-12-23 05:00:00;25828.500000001
2021-12-23 06:00:00;25827.741666667403
2021-12-23 07:00:00;25828.05000000112
2021-12-23 08:00:00;25827.358333334472
2021-12-23 09:00:00;25828.35833333461
2021-12-23 10:00:00;25828.258333334576
2021-12-23 11:00:00;25827.90833333456
2021-12-23 12:00:00;25827.758333334576
2021-12-23 13:00:00;25828.29166666772
2021-12-23 14:00:00;25828.066666667168
2021-12-23 15:00:00;25828.050000000712
2021-12-23 16:00:00;25827.70833333414
2021-12-23 17:00:00;25827.658333333817
2021-12-23 18:00:00;25827.850000000362
2021-12-23 19:00:00;25828.408333333922
2021-12-23 20:00:00;25829.00000000028
2021-12-23 21:00:00;25827.700000000317
2021-12-23 22:00:00;25827.85000000044
2021-12-23 23:00:00;25827.92372881397
2021-12-24 00:00:00;25828.45000000076
2021-12-24 01:00:00;25827.666666667265
2021-12-24 02:00:00;25828.433333334102
2021-12-24 03:00:00;25828.975000000806
2021-12-24 04:00:00;25827.70000000084
2021-12-24 05:00:00;25828.416666667217
2021-12-24 06:00:00;25827.69491525517
2021-12-24 07:00:00;25829.116666667633
2021-12-24 08:00:00;25828.150000000893
2021-12-24 09:00:00;25827.62500000039
2021-12-24 10:00:00;25828.833333333725
2021-12-24 11:00:00;25829.175000000498
2021-12-24 12:00:00;25828.17500000065
2021-12-24 13:00:00;25827.91666666762
2021-12-24 14:00:00;25827.9666666676
2021-12-24 15:00:00;25829.058333334207
2021-12-24 16:00:00;25827.741666667367
2021-12-24 17:00:00;25828.83333333381
2021-12-24 18:00:00;25828.906779661964
2021-12-24 19:00:00;25829.45833333377
2021-12-24 20:00:00;25828.833333334238
2021-12-24 21:00:00;25827.78333333445
2021-12-24 22:00:00;25827.833333334507
2021-12-24 23:00:00;25827.96363636475
2021-12-25 00:00:00;25828.0666666674
2021-12-25 01:00:00;25828.34166666749
2021-12-25 02:00:00;25828.379310345357
2021-12-25 03:00:00;25828.375000000517
2021-12-25 04:00:00;25827.45833333401
2021-12-25 05:00:00;25828.616666667433
2021-12-25 06:00:00;25828.78333333424
2021-12-25 07:00:00;25827.658333334628
2021-12-25 08:00:00;25828.241666667862
2021-12-25 09:00:00;25827.96666666751
2021-12-25 10:00:00;25826.883333334146
2021-12-25 11:00:00;25827.474137932008
2021-12-25 12:00:00;25826.48333333456
2021-12-25 13:00:00;25826.666666667646
2021-12-25 14:00:00;25826.92500000122
2021-12-25 15:00:00;25828.000000000917
2021-12-25 16:00:00;25827.450000001205
2021-12-25 17:00:00;25827.083333334467
2021-12-25 18:00:00;25828.59482758704
2021-12-25 19:00:00;25826.692982456767
2021-12-25 20:00:00;25826.833333333725
2021-12-25 21:00:00;25827.183333333902
2021-12-25 22:00:00;25828.000000000742
2021-12-25 23:00:00;25826.958333333867
2021-12-26 00:00:00;25827.63392857199
2021-12-26 01:00:00;25826.517543860737
2021-12-26 02:00:00;25826.948275863262
2021-12-26 03:00:00;25827.475000001134
2021-12-26 04:00:00;25827.288135594372
2021-12-26 05:00:00;25827.00833333408
2021-12-26 06:00:00;25827.658333334082
2021-12-26 07:00:00;25827.033333334293
2021-12-26 08:00:00;25826.92500000061
2021-12-26 09:00:00;25826.233333334047
2021-12-26 10:00:00;25827.25833333438
2021-12-26 11:00:00;25827.15833333397
2021-12-26 12:00:00;25825.97500000112
2021-12-26 13:00:00;25826.558333334455
2021-12-26 14:00:00;25827.441666667783
2021-12-26 15:00:00;25828.491666667982
2021-12-26 16:00:00;25827.965517242545
2021-12-26 17:00:00;25826.228813560298
2021-12-26 18:00:00;25827.8833333346
2021-12-26 19:00:00;25827.612068966744
2021-12-26 20:00:00;25826.938596492182
2021-12-26 21:00:00;25827.694915255204
2021-12-26 22:00:00;25827.49107142961
2021-12-26 23:00:00;25827.8474576276
2021-12-27 00:00:00;25827.450000000685
2021-12-27 01:00:00;25826.90833333456
2021-12-27 02:00:00;25828.450000001143
2021-12-27 03:00:00;25827.847457627886
2021-12-27 04:00:00;25828.19491525456
2021-12-27 05:00:00;25827.816666667128
2021-12-27 06:00:00;25826.56666666724
2021-12-27 07:00:00;25827.80833333435
2021-12-27 08:00:00;25827.708333334118
2021-12-27 09:00:00;25826.95833333416
2021-12-27 10:00:00;25828.03333333417
2021-12-27 11:00:00;25828.350000000355
2021-12-27 12:00:00;25828.00833333389
2021-12-27 13:00:00;25828.75000000061
2021-12-27 14:00:00;25828.650000000518
2021-12-27 15:00:00;25828.191666667215
2021-12-27 16:00:00;25828.116666667782
2021-12-27 17:00:00;25828.075000000357
2021-12-27 18:00:00;25828.958333334056
2021-12-27 19:00:00;25827.908333334122
2021-12-27 20:00:00;25828.28333333413
2021-12-27 21:00:00;25827.958333334438
2021-12-27 22:00:00;25828.11666666709
2021-12-27 23:00:00;25829.53333333376
2021-12-28 00:00:00;25828.49166666712
2021-12-28 01:00:00;25828.97500000032
2021-12-28 02:00:00;25827.30833333357
2021-12-28 03:00:00;25828.233333333657
2021-12-28 04:00:00;25829.808333333815
2021-12-28 05:00:00;25829.423728814352
2021-12-28 06:00:00;25827.833333334424
2021-12-28 07:00:00;25828.43333333393
2021-12-28 08:00:00;25828.30000000058
2021-12-28 09:00:00;25827.50000000077
2021-12-28 10:00:00;25828.25833333394
2021-12-28 11:00:00;25828.425000000865
2021-12-28 12:00:00;25829.408333334057
2021-12-28 13:00:00;25828.23333333364
2021-12-28 14:00:00;25828.458333333776
2021-12-28 15:00:00;25828.00000000022
2021-12-28 16:00:00;25829.10833333378
2021-12-28 17:00:00;25827.60833333376
2021-12-28 18:00:00;25829.00000000085
2021-12-28 19:00:00;25828.35833333429
2021-12-28 20:00:00;25827.700000001103
2021-12-28 21:00:00;25827.830508475563
2021-12-28 22:00:00;25827.450000000917
2021-12-28 23:00:00;25827.6583333344
2021-12-29 00:00:00;25827.391666667496
2021-12-29 01:00:00;25828.26363636412
2021-12-29 02:00:00;25828.58333333377
2021-12-29 03:00:00;25827.63333333372
2021-12-29 04:00:00;25828.458333333838
2021-12-29 05:00:00;25828.14166666751
2021-12-29 06:00:00;25827.783333334388
2021-12-29 07:00:00;25828.841666667806
2021-12-29 08:00:00;25828.633333334434
2021-12-29 09:00:00;25829.300000000923
2021-12-29 10:00:00;25828.975000000253
2021-12-29 11:00:00;25829.358333333505
2021-12-29 12:00:00;25829.37500000013
2021-12-29 13:00:00;25828.00833333358
2021-12-29 14:00:00;25829.116666666847
2021-12-29 15:00:00;25830.066666666957
2021-12-29 16:00:00;25827.191666666826
2021-12-29 17:00:00;25828.625000000386
2021-12-29 18:00:00;25828.116666667374
2021-12-29 19:00:00;25828.58333333348
2021-12-29 20:00:00;25827.475000000268
2021-12-29 21:00:00;25829.31666666689
2021-12-29 22:00:00;25827.610169491567
2021-12-29 23:00:00;25827.22413793148
2021-12-30 00:00:00;25826.916666667574
2021-12-30 01:00:00;25828.441666667437
2021-12-30 02:00:00;25827.750000001102
2021-12-30 03:00:00;25826.666666667734
2021-12-30 04:00:00;25828.550000000854
2021-12-30 05:00:00;25828.220338983712
2021-12-30 06:00:00;25829.508333334063
2021-12-30 07:00:00;25827.900000000445
2021-12-30 08:00:00;25828.15000000049
2021-12-30 09:00:00;25829.566666666957
2021-12-30 10:00:00;25829.341666666904
2021-12-30 11:00:00;25829.61666666742
2021-12-30 12:00:00;25829.08333333405
2021-12-30 13:00:00;25828.625000000262
2021-12-30 14:00:00;25828.191666667106
2021-12-30 15:00:00;25829.17500000038
2021-12-30 16:00:00;25829.033333333708
2021-12-30 17:00:00;25829.775000000416
2021-12-30 18:00:00;25830.000000000324
2021-12-30 19:00:00;25829.583333333678
2021-12-30 20:00:00;25830.228813559715
2021-12-30 21:00:00;25829.491228070587
2021-12-30 22:00:00;25829.566666667048
2021-12-30 23:00:00;25828.76666666686
2021-12-31 00:00:00;25829.875000000447
2021-12-31 01:00:00;25828.15254237361
2021-12-31 02:00:00;25829.233333333683
2021-12-31 03:00:00;25829.596491228265
2021-12-31 04:00:00;25828.559322034318
2021-12-31 05:00:00;25829.666666667337
2021-12-31 06:00:00;25828.827272727583
2021-12-31 07:00:00;25829.241666666894
2021-12-31 08:00:00;25827.80833333362
2021-12-31 09:00:00;25828.62500000041
2021-12-31 10:00:00;25828.76666666767
2021-12-31 11:00:00;25829.250000001004
2021-12-31 12:00:00;25829.566666667597
2021-12-31 13:00:00;25829.71666666746
2021-12-31 14:00:00;25828.80000000064
2021-12-31 15:00:00;25828.600000000853
2021-12-31 16:00:00;25829.39166666714
2021-12-31 17:00:00;25829.16666666769
2021-12-31 18:00:00;25830.12500000064
2021-12-31 19:00:00;25829.608333334443
2021-12-31 20:00:00;25829.23333333374
2021-12-31 21:00:00;25830.183333333847
2021-12-31 22:00:00;25829.150000000685
2021-12-31 23:00:00;25829.70000000045
2022-01-01 00:00:00;25829.31666666715
2022-01-01 01:00:00;25828.941666667168
2022-01-01 02:00:00;25829.216666667806
2022-01-01 03:00:00;25828.561403509884
2022-01-01 04:00:00;25828.431034483918
2022-01-01 05:00:00;25829.18103448388
2022-01-01 06:00:00;25829.633333334546
2022-01-01 07:00:00;25829.266666667925
2022-01-01 08:00:00;25829.42500000109
2022-01-01 09:00:00;25828.69166666771
2022-01-01 10:00:00;25828.86666666788
2022-01-01 11:00:00;25828.84166666789
2022-01-01 12:00:00;25827.79166666772
2022-01-01 13:00:00;25828.45000000065
2022-01-01 14:00:00;25829.041666667385
2022-01-01 15:00:00;25829.12500000041
2022-01-01 16:00:00;25828.97500000043
2022-01-01 17:00:00;25828.55000000094
2022-01-01 18:00:00;25828.89166666763
2022-01-01 19:00:00;25828.381355933077
2022-01-01 20:00:00;25828.466666667824
2022-01-01 21:00:00;25829.12500000125
2022-01-01 22:00:00;25829.37500000123
2022-01-01 23:00:00;25827.875000001182
2022-01-02 00:00:00;25828.891666667427
2022-01-02 01:00:00;25828.266666667674
2022-01-02 02:00:00;25828.52500000087
2022-01-02 03:00:00;25828.591666667817
2022-01-02 04:00:00;25828.644067797402
2022-01-02 05:00:00;25829.008474577222
2022-01-02 06:00:00;25830.31666666784
2022-01-02 07:00:00;25829.700000000943
2022-01-02 08:00:00;25828.91666666788
2022-01-02 09:00:00;25831.100000001217
2022-01-02 10:00:00;25830.46666666773
2022-01-02 11:00:00;25830.7000000012
2022-01-02 12:00:00;25831.308333334244
2022-01-02 13:00:00;25831.898305085062
2022-01-02 14:00:00;25831.133333333815
2022-01-02 15:00:00;25830.166666667046
2022-01-02 16:00:00;25831.50892857212
2022-01-02 17:00:00;25831.416666667777
2022-01-02 18:00:00;25830.941666667768
2022-01-02 19:00:00;25831.416666667807
2022-01-02 20:00:00;25830.575000001118
2022-01-02 21:00:00;25830.650000000995
2022-01-02 22:00:00;25831.01666666764
2022-01-02 23:00:00;25831.457627119482
2022-01-03 00:00:00;25831.76785714384
2022-01-03 01:00:00;25830.758620690518
2022-01-03 02:00:00;25831.57500000103
2022-01-03 03:00:00;25831.366666667433
2022-01-03 04:00:00;25831.37719298281
2022-01-03 05:00:00;25831.833333333707
2022-01-03 06:00:00;25831.150000000962
2022-01-03 07:00:00;25830.750000001
2022-01-03 08:00:00;25831.183333334393
2022-01-03 09:00:00;25831.43333333435
2022-01-03 10:00:00;25829.683333334433
2022-01-03 11:00:00;25830.35833333393
2022-01-03 12:00:00;25829.825000001078
2022-01-03 13:00:00;25830.86666666772
2022-01-03 14:00:00;25830.63333333451
2022-01-03 15:00:00;25830.300000001265
2022-01-03 16:00:00;25831.318965518345
2022-01-03 17:00:00;25832.24576271273
2022-01-03 18:00:00;25830.550000000792
2022-01-03 19:00:00;25830.075000000543
2022-01-03 20:00:00;25830.466101695543
