Date/time (UTC);PD Detection Sensitivity (pC)
2021-12-22 12:00:00;4999.470966873783
2021-12-22 13:00:00;1924.359814304013
2021-12-22 14:00:00;1793.8201300043952
2021-12-22 15:00:00;1488.6561047261505
2021-12-22 16:00:00;449.77778384168295
2021-12-22 17:00:00;480.16931864295645
2021-12-22 18:00:00;568.0846637435753
2021-12-22 19:00:00;583.8730237447937
2021-12-22 20:00:00;582.1799020288455
2021-12-22 21:00:00;688.5079457904027
2021-12-22 22:00:00;712.0211736206356
2021-12-22 23:00:00;811.8095347543424
2021-12-23 00:00:00;989.7777911219652
2021-12-23 01:00:00;1261.3121863171832
2021-12-23 02:00:00;1255.174620096871
2021-12-23 03:00:00;1508.4867928241958
2021-12-23 04:00:00;1627.5767415197136
2021-12-23 05:00:00;1510.3280626902897
2021-12-23 06:00:00;1239.576736288697
2021-12-23 07:00:00;976.6984258662637
2021-12-23 08:00:00;1845.7989666840094
2021-12-23 09:00:00;1720.4444676394814
2021-12-23 10:00:00;1668.634943131462
2021-12-23 11:00:00;1706.0317690324716
2021-12-23 12:00:00;1665.9682764288432
2021-12-23 13:00:00;1690.0740968596579
2021-12-23 14:00:00;1789.0793891997391
2021-12-23 15:00:00;1333.037055009047
2021-12-23 16:00:00;694.3492157104248
2021-12-23 17:00:00;533.8201130170702
2021-12-23 18:00:00;563.4497430461666
2021-12-23 19:00:00;781.820116360607
2021-12-23 20:00:00;1153.312184861128
2021-12-23 21:00:00;1141.1217085062992
2021-12-23 22:00:00;1034.6243525731477
2021-12-23 23:00:00;857.6931332565433
2021-12-24 00:00:00;750.8994810230998
2021-12-24 01:00:00;824.9100640314924
2021-12-24 02:00:00;970.9206480105901
2021-12-24 03:00:00;1077.16403568635
2021-12-24 04:00:00;1131.0476342964066
2021-12-24 05:00:00;1036.4867864606904
2021-12-24 06:00:00;1104.465623356017
2021-12-24 07:00:00;1156.5714441643286
2021-12-24 08:00:00;1860.4656335484115
2021-12-24 09:00:00;1688.2751550364624
2021-12-24 10:00:00;1765.4180132193603
2021-12-24 11:00:00;1666.7301812010205
2021-12-24 12:00:00;1682.4973771807886
2021-12-24 13:00:00;1681.8201284944096
2021-12-24 14:00:00;1670.1587526758153
2021-12-24 15:00:00;1464.317480059394
2021-12-24 16:00:00;442.412704377308
2021-12-24 17:00:00;597.0793731291908
2021-12-24 18:00:00;798.5396933055971
2021-12-24 19:00:00;914.3068906335667
2021-12-24 20:00:00;891.6190596398585
2021-12-24 21:00:00;1253.9259428313596
2021-12-24 22:00:00;1315.5767373133292
2021-12-24 23:00:00;1241.798958540879
2021-12-25 00:00:00;1173.9471057742485
2021-12-25 01:00:00;1312.5502822460714
2021-12-25 02:00:00;1374.2434047709398
2021-12-25 03:00:00;1373.3756798915165
2021-12-25 04:00:00;1331.1322930786043
2021-12-25 05:00:00;1311.4285891092554
2021-12-25 06:00:00;1369.1640396230946
2021-12-25 07:00:00;1522.2222427448266
2021-12-25 08:00:00;1909.1852109248264
2021-12-25 09:00:00;2094.433890671026
2021-12-25 10:00:00;2148.169341130937
2021-12-25 11:00:00;2183.1957966296186
2021-12-25 12:00:00;2123.1534677778
2021-12-25 13:00:00;2073.67198562921
2021-12-25 14:00:00;1937.9259520530493
2021-12-25 15:00:00;1818.7936753146328
2021-12-25 16:00:00;778.5820210788553
2021-12-25 17:00:00;525.7777848663155
2021-12-25 18:00:00;560.8538663463269
2021-12-25 19:00:00;578.6243464253539
2021-12-25 20:00:00;628.9735534533683
2021-12-25 21:00:00;604.5079446579143
2021-12-25 22:00:00;595.343923370344
2021-12-25 23:00:00;633.4391619791821
2021-12-26 00:00:00;723.4709092247366
2021-12-26 01:00:00;877.3545091829935
2021-12-26 02:00:00;904.8677370671539
2021-12-26 03:00:00;908.7830810352847
2021-12-26 04:00:00;945.4391661855667
2021-12-26 05:00:00;950.3280551403681
2021-12-26 06:00:00;1007.9365215255114
2021-12-26 07:00:00;1228.8254133924247
2021-12-26 08:00:00;2090.158758338255
2021-12-26 09:00:00;2195.3227809201003
2021-12-26 10:00:00;2186.7936802760096
2021-12-26 11:00:00;2102.772515122072
2021-12-26 12:00:00;2101.0159013417747
2021-12-26 13:00:00;1997.6719846045764
2021-12-26 14:00:00;1866.603199768725
2021-12-26 15:00:00;1848.2328291506851
2021-12-26 16:00:00;659.8139114681366
2021-12-26 17:00:00;585.7411970279842
2021-12-26 18:00:00;532.8042399875013
2021-12-26 19:00:00;537.7354569852009
2021-12-26 20:00:00;534.6455098535952
2021-12-26 21:00:00;519.6879273723208
2021-12-26 22:00:00;610.7301669640248
2021-12-26 23:00:00;591.1534471233717
2021-12-27 00:00:00;576.2963040659249
2021-12-27 01:00:00;659.0476279329013
2021-12-27 02:00:00;709.2486868107702
2021-12-27 03:00:00;778.6878411861026
2021-12-27 04:00:00;805.4180002766377
2021-12-27 05:00:00;719.492073192258
2021-12-27 06:00:00;563.3862509818188
2021-12-27 07:00:00;876.1269959389307
2021-12-27 08:00:00;1757.5238332187516
2021-12-27 09:00:00;1768.8465846941558
2021-12-27 10:00:00;1705.9682769681226
2021-12-27 11:00:00;1749.6508172395907
2021-12-27 12:00:00;1659.7672181441815
2021-12-27 13:00:00;1642.8783290275974
2021-12-27 14:00:00;1646.5820327812348
2021-12-27 15:00:00;1605.9471115984736
2021-12-27 16:00:00;497.60847231722437
2021-12-27 17:00:00;492.0634986974937
2021-12-27 18:00:00;506.3068851329089
2021-12-27 19:00:00;574.7936585430208
2021-12-27 20:00:00;575.9788437441844
2021-12-27 21:00:00;704.1058295985769
2021-12-27 22:00:00;824.9100640314929
2021-12-27 23:00:00;994.3915477979243
2021-12-28 00:00:00;1133.5449888274306
2021-12-28 01:00:00;1063.6613900016614
2021-12-28 02:00:00;1059.7037179906324
2021-12-28 03:00:00;926.7513352457872
2021-12-28 04:00:00;971.4285845253745
2021-12-28 05:00:00;1011.3439289788573
2021-12-28 06:00:00;887.5978955644812
2021-12-28 07:00:00;947.8941926736924
2021-12-28 08:00:00;1829.4180140822089
2021-12-28 09:00:00;1644.7195988936905
2021-12-28 10:00:00;1633.1852072037937
2021-12-28 11:00:00;1723.640234878335
2021-12-28 12:00:00;1625.4603393747784
2021-12-28 13:00:00;1785.7566378321906
2021-12-28 14:00:00;1668.507959002766
2021-12-28 15:00:00;1715.1534622771435
2021-12-28 16:00:00;431.1322809448017
2021-12-28 17:00:00;463.2804295263714
2021-12-28 18:00:00;490.3703769815452
2021-12-28 19:00:00;490.32804893864665
2021-12-28 20:00:00;439.7248736532397
2021-12-28 21:00:00;502.16842215899055
2021-12-28 22:00:00;586.8148227262541
2021-12-28 23:00:00;770.1164124991136
2021-12-29 00:00:00;826.6243497688905
2021-12-29 01:00:00;933.3968379808844
2021-12-29 02:00:00;1215.5132439007805
2021-12-29 03:00:00;1309.4391710930165
2021-12-29 04:00:00;1310.2434039080918
2021-12-29 05:00:00;1102.4550413183283
2021-12-29 06:00:00;809.100540008825
2021-12-29 07:00:00;905.5661497749832
2021-12-29 08:00:00;1738.4973779357808
2021-12-29 09:00:00;1710.7725098371268
2021-12-29 10:00:00;1649.3121915482016
2021-12-29 11:00:00;1652.677270958648
2021-12-29 12:00:00;1639.5132496171502
2021-12-29 13:00:00;1687.7883825431275
2021-12-29 14:00:00;1736.7830921983832
2021-12-29 15:00:00;1541.7566345425814
2021-12-29 16:00:00;453.8201119385099
2021-12-29 17:00:00;671.7672048239634
2021-12-29 18:00:00;798.2645610267554
2021-12-29 19:00:00;543.7883671197162
2021-12-29 20:00:00;673.4603265399116
2021-12-29 21:00:00;722.2222319592244
2021-12-29 22:00:00;673.2698503468672
2021-12-29 23:00:00;779.7248782371208
2021-12-30 00:00:00;790.8571535194815
2021-12-30 01:00:00;777.8412803281279
2021-12-30 02:00:00;766.6455129814199
2021-12-30 03:00:00;859.8095354014782
2021-12-30 04:00:00;918.6243510092343
2021-12-30 05:00:00;1000.5291140182367
2021-12-30 06:00:00;1015.4497491400317
2021-12-30 07:00:00;1115.2169462522893
2021-12-30 08:00:00;1889.3756868482294
2021-12-30 09:00:00;1719.5132506957102
2021-12-30 10:00:00;1712.5502876388732
2021-12-30 11:00:00;1702.0317689785434
2021-12-30 12:00:00;1766.7090185277705
2021-12-30 13:00:00;1616.8042546019924
2021-12-30 14:00:00;1733.291028659241
2021-12-30 15:00:00;1776.0211879654876
2021-12-30 16:00:00;856.4656200124808
2021-12-30 17:00:00;980.1693253839577
2021-12-30 18:00:00;792.7195874070247
2021-12-30 19:00:00;806.5820214563515
2021-12-30 20:00:00;724.9312267047418
2021-12-30 21:00:00;668.8888979068511
2021-12-30 22:00:00;559.428578970789
2021-12-30 23:00:00;509.5238163932111
2021-12-31 00:00:00;429.54497933610025
2021-12-31 01:00:00;391.2617755198137
2021-12-31 02:00:00;506.8148216476938
2021-12-31 03:00:00;498.82484660262946
2021-12-31 04:00:00;504.4498319287853
2021-12-31 05:00:00;504.8677316743531
2021-12-31 06:00:00;497.2236719272364
2021-12-31 07:00:00;1133.9682692564174
2021-12-31 08:00:00;1737.587325013459
2021-12-31 09:00:00;1784.4867965452288
2021-12-31 10:00:00;1703.8942028660865
2021-12-31 11:00:00;1734.7513461392457
2021-12-31 12:00:00;1724.6349438864547
2021-12-31 13:00:00;1697.5661604527293
2021-12-31 14:00:00;1648.2539904757334
2021-12-31 15:00:00;1760.2116639428189
2021-12-31 16:00:00;1168.8254125835049
2021-12-31 17:00:00;900.486784627138
2021-12-31 18:00:00;732.296306169117
2021-12-31 19:00:00;630.7936592980125
2021-12-31 20:00:00;757.1640313721089
2021-12-31 21:00:00;727.2381050427216
2021-12-31 22:00:00;906.1164143326666
2021-12-31 23:00:00;1362.6031929737946
2022-01-01 00:00:00;1519.3650998491635
2022-01-01 01:00:00;1524.465629018459
2022-01-01 02:00:00;1470.8783267086926
2022-01-01 03:00:00;1481.6084855835156
2022-01-01 04:00:00;1355.9788542601466
2022-01-01 05:00:00;1334.5608645534005
2022-01-01 06:00:00;1314.7090124339054
2022-01-01 07:00:00;1356.656102946526
2022-01-01 08:00:00;1666.6031970723238
2022-01-01 09:00:00;1745.1852087137768
2022-01-01 10:00:00;1729.7989651200971
2022-01-01 11:00:00;1797.2487014791905
2022-01-01 12:00:00;1783.0264790652232
2022-01-01 13:00:00;1707.8095468342171
2022-01-01 14:00:00;1659.9788583586756
2022-01-01 15:00:00;1730.7301820638684
2022-01-01 16:00:00;687.5132367822833
2022-01-01 17:00:00;651.6825484685256
2022-01-01 18:00:00;747.1957772694627
2022-01-01 19:00:00;745.4179994677171
2022-01-01 20:00:00;847.5132389394035
2022-01-01 21:00:00;910.3915466654364
2022-01-01 22:00:00;946.8783196441229
2022-01-01 23:00:00;956.5291134250286
2022-01-02 00:00:00;957.7566266690918
2022-01-02 01:00:00;975.9153570726377
2022-01-02 02:00:00;911.9788482741376
2022-01-02 03:00:00;967.9153569647818
2022-01-02 04:00:00;974.391547528284
2022-01-02 05:00:00;862.9206465545335
2022-01-02 06:00:00;689.6084749057693
2022-01-02 07:00:00;523.2169382709436
2022-01-02 08:00:00;1768.8465846941556
2022-01-02 09:00:00;1706.1799171826176
2022-01-02 10:00:00;1737.9259493566485
2022-01-02 11:00:00;1761.0582248007931
2022-01-02 12:00:00;1814.222246681572
2022-01-02 13:00:00;1784.6349446953748
2022-01-02 14:00:00;1647.6825618966006
2022-01-02 15:00:00;1702.3703933217334
2022-01-02 16:00:00;1354.3764354932675
2022-01-02 17:00:00;1345.6296477714125
2022-01-02 18:00:00;1256.3809693194846
2022-01-02 19:00:00;1067.30160169095
2022-01-02 20:00:00;899.2169433401767
2022-01-02 21:00:00;854.6666781892853
2022-01-02 22:00:00;543.4709067979759
2022-01-02 23:00:00;640.5811224377695
2022-01-03 00:00:00;599.8518599390562
2022-01-03 01:00:00;585.5238174178435
2022-01-03 02:00:00;504.27513907377113
2022-01-03 03:00:00;475.0899534951114
2022-01-03 04:00:00;469.50710741594435
2022-01-03 05:00:00;486.30688486326915
2022-01-03 06:00:00;484.33863086847913
2022-01-03 07:00:00;1173.9471057742485
2022-01-03 08:00:00;1622.0106038785345
2022-01-03 09:00:00;1789.1428812640866
2022-01-03 10:00:00;1891.174628671425
2022-01-03 11:00:00;1790.8994950443832
2022-01-03 12:00:00;1873.333358589619
2022-01-03 13:00:00;1781.6719816924647
2022-01-03 14:00:00;1696.0846789512743
