Component type;Length (m);Distance to start (m);Distance to end (m);Cumulative length (m)
RMU;-;0;3245;0.0
Termination (unknown);-;0;3245;0.0
Cable (PILC, 3 cores, belted);49;-;-;0.0
Joint (heat shrink);-;49;3196;49.0
Cable (PILC, 3 cores, belted);81;-;-;49.0
Joint (oil);-;130;3115;130.0
Cable (PILC, 3 cores, belted);26;-;-;130.0
Joint (oil);-;156;3089;156.0
Cable (PILC, 3 cores, belted);54;-;-;156.0
Termination (unknown);-;210;3035;210.0
RMU;-;210;3035;210.0
Termination (unknown);-;210;3035;210.0
Cable (PILC, 3 cores, belted);38;-;-;210.0
Joint (oil);-;248;2997;248.0
Cable (PILC, 3 cores, belted);185;-;-;248.0
Joint (oil);-;433;2812;433.0
Cable (PILC, 3 cores, belted);15;-;-;433.0
Joint (oil);-;448;2797;448.0
Cable (PILC, 3 cores, belted);57;-;-;448.0
Joint (heat shrink);-;505;2740;505.0
Cable (XLPE, 1 core);20;-;-;505.0
Termination (unknown);-;525;2720;525.0
RMU;-;525;2720;525.0
Termination (unknown);-;525;2720;525.0
Cable (XLPE, 1 core);9;-;-;525.0
Joint (heat shrink);-;534;2711;534.0
Cable (PILC, 3 cores, belted);40;-;-;534.0
Joint (oil);-;574;2671;574.0
Cable (PILC, 3 cores, belted);92;-;-;574.0
Joint (oil);-;666;2579;666.0
Cable (PILC, 3 cores, belted);114;-;-;666.0
Joint (oil);-;780;2465;780.0
Cable (PILC, 3 cores, belted);254;-;-;780.0
Joint (oil);-;1034;2211;1034.0
Cable (PILC, 3 cores, belted);165;-;-;1034.0
Joint (heat shrink);-;1199;2046;1199.0
Cable (XLPE, 3 cores, common earth screen);6;-;-;1199.0
Joint (heat shrink);-;1205;2040;1205.0
Cable (PILC, 3 cores, belted);30;-;-;1205.0
Termination (unknown);-;1235;2010;1235.0
RMU;-;1235;2010;1235.0
Termination (unknown);-;1235;2010;1235.0
Cable (PILC, 3 cores, belted);30;-;-;1235.0
Joint (heat shrink);-;1265;1980;1265.0
Cable (XLPE, 3 cores, common earth screen);6;-;-;1265.0
Joint (heat shrink);-;1271;1974;1271.0
Cable (PILC, 3 cores, belted);23;-;-;1271.0
Joint (oil);-;1294;1951;1294.0
Cable (PILC, 3 cores, belted);6;-;-;1294.0
Joint (oil);-;1300;1945;1300.0
Cable (PILC, 3 cores, belted);167;-;-;1300.0
Joint (oil);-;1467;1778;1467.0
Cable (PILC, 3 cores, belted);85;-;-;1467.0
Joint (heat shrink);-;1552;1693;1552.0
Cable (XLPE, 3 cores, common earth screen);92;-;-;1552.0
Joint (heat shrink);-;1644;1601;1644.0
Cable (PILC, 3 cores, belted);27;-;-;1644.0
Termination (unknown);-;1671;1574;1671.0
RMU;-;1671;1574;1671.0
Termination (unknown);-;1671;1574;1671.0
Cable (PILC, 3 cores, belted);27;-;-;1671.0
Joint (oil);-;1698;1547;1698.0
Cable (XLPE, 3 cores, common earth screen);92;-;-;1698.0
Joint (oil);-;1790;1455;1790.0
Cable (PILC, 3 cores, belted);82;-;-;1790.0
Joint (oil);-;1872;1373;1872.0
Cable (PILC, 3 cores, belted);20;-;-;1872.0
Termination (unknown);-;1892;1353;1892.0
RMU;-;1892;1353;1892.0
Termination (unknown);-;1892;1353;1892.0
Cable (PILC, 3 cores, belted);28;-;-;1892.0
Joint (oil);-;1920;1325;1920.0
Cable (PILC, 3 cores, belted);95;-;-;1920.0
Joint (heat shrink);-;2015;1230;2015.0
Cable (XLPE, 3 cores, common earth screen);12;-;-;2015.0
Joint (heat shrink);-;2027;1218;2027.0
Cable (PILC, 3 cores, belted);166;-;-;2027.0
Joint (oil);-;2193;1052;2193.0
Cable (PILC, 3 cores, belted);116;-;-;2193.0
Joint (oil);-;2309;936;2309.0
Cable (PILC, 3 cores, belted);20;-;-;2309.0
Termination (unknown);-;2329;916;2329.0
RMU;-;2329;916;2329.0
Termination (unknown);-;2329;916;2329.0
Cable (PILC, 3 cores, belted);151;-;-;2329.0
Joint (oil);-;2480;765;2480.0
Cable (PILC, 3 cores, belted);84;-;-;2480.0
Joint (oil);-;2564;681;2564.0
Cable (PILC, 3 cores, belted);78;-;-;2564.0
Joint (oil);-;2642;603;2642.0
Cable (PILC, 3 cores, belted);62;-;-;2642.0
Joint (oil);-;2704;541;2704.0
Cable (PILC, 3 cores, belted);200;-;-;2704.0
Joint (oil);-;2904;341;2904.0
Cable (PILC, 3 cores, belted);11;-;-;2904.0
Termination (unknown);-;2915;330;2915.0
RMU;-;2915;330;2915.0
Termination (unknown);-;2915;330;2915.0
Cable (PILC, 3 cores, belted);7;-;-;2915.0
Joint (oil);-;2922;323;2922.0
Cable (PILC, 3 cores, belted);20;-;-;2922.0
Joint (oil);-;2942;303;2942.0
Cable (PILC, 3 cores, belted);59;-;-;2942.0
Joint (oil);-;3001;244;3001.0
Cable (PILC, 3 cores, belted);17;-;-;3001.0
Joint (oil);-;3018;227;3018.0
Cable (PILC, 3 cores, belted);35;-;-;3018.0
Joint (oil);-;3053;192;3053.0
Cable (PILC, 3 cores, belted);15;-;-;3053.0
Joint (resin);-;3068;177;3068.0
Cable (PILC, 3 cores, belted);77;-;-;3068.0
Joint (oil);-;3145;100;3145.0
Cable (PILC, 3 cores, belted);60;-;-;3145.0
Joint (oil);-;3205;40;3205.0
Cable (PILC, 3 cores, belted);36;-;-;3205.0
Joint (heat shrink);-;3241;4;3241.0
Cable (XLPE, 3 cores, common earth screen);4;-;-;3241.0
Termination (unknown);-;3245;0;3245.0
RMU;-;3245;0;3245.0
