Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2020-11-29 18:12:33;2020-11-29 18:13:38;1179;2
2020-12-01 08:13:49;2020-12-31 23:33:00;1179;1
2020-12-01 08:13:49;2021-01-31 23:39:00;1179;1
2020-12-01 08:13:49;2021-02-28 23:33:00;1179;1
2020-12-01 08:13:49;2021-03-31 23:31:00;1179;1
2020-12-01 08:13:49;2021-04-30 23:33:00;1179;1
2020-12-01 08:13:49;2021-05-24 08:03:57;1179;1
2021-05-24 08:03:57;2021-06-24 03:25:59;1179;1
2020-12-01 08:13:49;2021-08-01 10:00:22;1179;1
2020-11-29 18:12:33;2021-08-01 10:00:22;1179;2
2020-12-01 08:13:49;2021-08-01 10:00:22;1179;1
2020-11-29 18:12:33;2021-08-01 10:00:22;1179;2
