Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2016-02-05 13:48:07.000000000;2016-03-04 08:37:56.000000000;2667.0;3
2016-02-25 13:10:00.000000000;2016-04-06 19:19:32.000000000;2667.0;3
2016-03-29 20:47:32.000000000;2016-04-14 15:42:12.000000000;2667.0;3
2016-04-14 15:42:12.000000000;2016-05-31 07:06:23.000000000;2667.0;3
2016-02-05 13:48:07.000000000;2016-08-12 00:45:24.000000000;2667.0;3
2016-02-05 13:48:07.000000000;2016-08-12 00:45:24.000000000;2667.0;3
2016-02-05 13:48:07.000000000;2016-08-12 00:45:24.000000000;2667.0;3
2020-09-30 13:10:22.000000000;2020-09-30 23:55:00.000000000;2062.0;3
2020-09-30 13:10:22.000000000;2020-11-04 09:38:59.000000000;2062.0;3
2020-09-30 13:10:22.000000000;2020-12-01 10:53:27.000000000;2062.0;3
2020-11-04 09:38:59.000000000;2020-12-15 09:42:12.000000000;2062.0;3
2020-09-30 13:10:22.000000000;2021-01-25 04:01:49.000000000;2062.0;3
2021-10-31 20:00:05.000000000;2021-10-31 23:59:00.000000000;2065.0;3
2021-10-31 20:00:05.039727300;2021-11-11 06:05:34.956337400;2065.217073636348;3
2021-10-31 20:00:05.039727300;2021-12-26 11:29:55.499528200;2065.217073620253;3
2021-11-11 06:05:35.123038800;2021-12-26 11:29:55.499528200;2065.217073620253;3
2021-10-31 20:00:05.039727300;2021-12-26 11:29:55.499528200;2065.217073620253;3
2021-11-11 06:05:35.123038800;2021-12-26 11:29:55.499528200;2065.217073620253;3
