Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2020-11-19 16:55:05.000000000;2020-11-30 23:57:00.000000000;365.0;N
2020-10-28 20:47:47.000000000;2020-11-13 08:09:06.000000000;380.0;N
2020-09-04 12:22:25.000000000;2020-11-06 17:08:51.000000000;393.0;N
2020-11-19 16:54:58.000000000;2020-12-22 12:05:30.000000000;1.0;N
2020-11-19 16:55:05.000000000;2020-12-31 23:35:00.000000000;65.0;N
2020-09-04 12:22:21.000000000;2020-12-28 14:34:25.000000000;77.0;N
2020-10-28 20:47:54.000000000;2020-12-01 11:09:04.000000000;90.0;N
2020-11-19 16:54:58.000000000;2020-12-28 14:34:25.000000000;336.0;N
2020-11-19 16:55:05.000000000;2020-12-31 23:35:00.000000000;365.0;N
2020-12-22 12:05:30.000000000;2021-01-13 11:48:03.000000000;1.0;N
2020-11-19 16:55:05.000000000;2021-01-21 03:00:53.000000000;65.0;N
2020-12-28 14:34:25.000000000;2021-01-13 11:48:03.000000000;77.0;N
2021-01-04 13:16:47.000000000;2021-01-31 23:59:00.000000000;301.0;N
2020-12-28 14:34:25.000000000;2021-01-17 20:08:32.000000000;336.0;N
2020-11-19 16:55:05.000000000;2021-01-13 11:48:03.000000000;365.0;N
2021-01-13 11:48:03.000000000;2021-02-28 23:59:00.000000000;1.0;N
2021-01-13 11:48:03.000000000;2021-02-28 23:59:00.000000000;77.0;N
2021-01-04 13:16:47.000000000;2021-02-28 23:59:00.000000000;301.0;3
2020-10-28 20:48:06.000000000;2021-02-10 10:38:27.000000000;336.0;N
2021-01-13 11:48:03.000000000;2021-02-28 23:59:00.000000000;365.0;N
2021-01-13 11:48:03.000000000;2021-03-11 06:45:26.000000000;1.0;N
2021-01-13 11:48:03.000000000;2021-03-26 09:20:17.000000000;77.0;N
2021-01-04 13:16:47.000000000;2021-03-26 09:20:23.000000000;301.0;3
2021-01-13 11:48:03.000000000;2021-03-16 04:55:45.000000000;365.0;N
2021-03-11 06:45:26.000000000;2021-04-15 12:49:18.000000000;1.0;N
2021-03-26 09:20:17.000000000;2021-04-28 05:21:03.000000000;77.0;N
2021-03-26 09:20:23.000000000;2021-04-09 02:30:32.000000000;301.0;3
2021-04-09 02:30:32.000000000;2021-04-30 23:59:00.000000000;301.0;N
2021-03-16 04:55:45.000000000;2021-04-09 02:30:36.000000000;365.0;N
2021-04-15 12:49:18.000000000;2021-05-14 21:17:12.000000000;1.0;N
2021-04-28 05:21:03.000000000;2021-05-26 12:21:50.000000000;77.0;N
2021-01-04 13:16:47.000000000;2021-05-13 13:12:13.000000000;301.0;3
2021-04-09 02:30:32.000000000;2021-05-13 13:12:13.000000000;301.0;N
2021-04-09 02:30:36.000000000;2021-05-26 12:21:50.000000000;365.0;N
2021-05-14 21:17:12.000000000;2021-06-22 03:51:47.000000000;1.0;N
2021-05-26 12:21:50.000000000;2021-06-27 17:28:51.000000000;77.0;N
2021-06-22 03:52:27.000000000;2021-06-27 17:28:51.000000000;90.0;N
2021-05-26 12:21:50.000000000;2021-06-22 03:52:03.000000000;365.0;N
2021-06-22 03:51:47.000000000;2021-07-29 09:00:28.000000000;1.0;N
2021-06-27 17:28:51.000000000;2021-07-29 09:00:15.000000000;77.0;N
2021-06-22 03:52:27.000000000;2021-08-02 06:00:57.000000000;90.0;N
2021-07-05 06:51:18.000000000;2021-07-29 08:58:46.000000000;365.0;3
2021-06-22 03:52:03.000000000;2021-07-05 06:51:18.000000000;365.0;N
2021-07-29 09:00:28.000000000;2021-08-27 08:42:17.000000000;1.0;N
2021-07-29 09:00:15.000000000;2021-08-31 23:52:00.000000000;77.0;N
2021-06-22 03:52:27.000000000;2021-08-02 06:00:57.000000000;90.0;N
2021-07-29 08:58:46.000000000;2021-08-27 08:43:27.000000000;365.0;3
2021-08-27 08:42:17.000000000;2021-09-29 03:23:09.000000000;1.0;N
2021-07-29 09:00:15.000000000;2021-09-06 09:47:17.000000000;77.0;N
2021-07-05 06:51:18.000000000;2021-09-30 15:50:05.000000000;365.0;3
2020-11-19 16:55:05.000000000;2021-09-30 15:50:05.000000000;365.0;N
2021-09-29 03:23:09.000000000;2021-10-06 13:27:13.000000000;1.0;N
2020-04-19 10:49:24.000000000;2021-10-26 07:27:15.000000000;77.0;N
2021-10-06 13:27:13.920868400;2021-12-08 12:30:14.602944000;1.0076562390786483;N
2021-10-06 13:27:13.920868400;2021-12-08 12:30:14.602944000;1.0076562390711217;N
2021-12-08 12:30:14.621132000;2021-12-15 13:40:46.805425800;1.0076562390711217;N
2021-12-08 12:30:18.731400700;2021-12-29 14:02:59.059789300;102.98246873907112;N
2021-12-08 12:30:18.823171300;2021-12-29 14:02:59.170676100;341.1905908931942;N
2021-12-15 13:40:46.820489100;2022-01-14 06:33:46.279436000;1.0076562390711217;N
2021-12-29 14:02:59.077886700;2022-01-06 08:55:19.255117100;102.98246873907112;N
2021-12-29 14:02:59.188788200;2022-01-06 08:55:19.367897900;341.1905908931942;N
2021-12-29 14:03:03.601166900;2022-02-19 09:36:07.648111000;389.8512272568306;N
2021-12-29 14:03:03.695240300;2022-01-06 08:55:19.487281400;366.40031816592165;N
2021-12-15 13:40:46.820489100;2022-01-14 06:33:46.279436000;1.0076562390715909;N
2021-12-29 14:02:59.077886700;2022-01-06 08:55:19.255117100;102.98246873907158;N
2021-12-29 14:02:59.188788200;2022-01-06 08:55:19.367897900;341.190590893195;N
2021-12-29 14:03:03.601166900;2022-01-06 08:55:19.598984500;389.85122725683135;N
2021-12-29 14:03:03.695240300;2022-01-06 08:55:19.487281400;366.4003181659224;N
2022-01-06 08:55:19.271213200;2022-01-21 12:08:57.273116500;102.98246873907158;N
2022-01-06 08:55:19.384862000;;341.190590893195;N
2022-01-06 08:55:19.503239300;2022-01-14 06:34:04.420247800;366.4003181659224;N
2022-01-06 08:55:19.614941600;2022-01-14 06:34:21.201781700;389.85122725683135;N
