Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2019-04-11 15:27:26.000000000;2019-04-30 23:56:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-05-31 23:45:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-06-30 23:45:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-07-31 23:47:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-08-30 22:49:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-09-30 23:54:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-10-31 23:57:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-11-30 23:56:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2019-12-31 23:59:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-01-31 23:58:00.000000000;3284.0;3
2020-02-19 15:15:37.000000000;2020-02-29 23:59:00.000000000;2087.0;N
2019-04-11 15:27:26.000000000;2020-02-29 23:59:00.000000000;3284.0;3
2020-02-19 15:15:37.000000000;2020-03-31 23:58:00.000000000;2087.0;N
2019-04-11 15:27:26.000000000;2020-03-31 23:58:00.000000000;3284.0;3
2020-02-19 15:15:37.000000000;2020-04-12 02:47:18.000000000;2087.0;N
2019-04-11 15:27:26.000000000;2020-04-30 23:57:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-05-31 21:49:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-06-30 23:59:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-07-31 23:58:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-08-31 23:59:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-09-30 23:48:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-10-31 23:50:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-11-30 23:47:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2020-12-31 23:51:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2021-01-31 23:56:00.000000000;3284.0;3
2019-04-11 15:27:26.000000000;2021-02-28 23:58:00.000000000;3284.0;3
2021-03-11 07:53:26.000000000;2021-03-31 07:21:30.000000000;1336.0;3
2021-03-11 07:53:12.000000000;2021-03-31 07:21:22.000000000;1414.0;3
2021-03-11 07:51:06.000000000;2021-03-31 07:22:00.000000000;3284.0;2
2019-04-11 15:27:26.000000000;2021-03-11 07:51:06.000000000;3284.0;3
2021-03-11 07:53:26.000000000;2021-04-18 09:06:28.000000000;1336.0;3
2021-03-11 07:53:12.000000000;2021-04-22 23:48:16.000000000;1414.0;3
2021-03-31 07:22:00.000000000;2021-04-30 23:58:00.000000000;3284.0;2
2021-03-31 07:22:00.000000000;2021-05-31 23:49:00.000000000;3284.0;2
2021-06-02 02:53:07.000000000;2021-06-30 23:49:00.000000000;2087.0;N
2021-06-21 03:50:04.000000000;2021-06-28 05:27:14.000000000;2141.0;N
2021-03-31 07:22:00.000000000;2021-06-30 23:49:00.000000000;3284.0;2
2021-06-02 02:53:07.000000000;2021-07-19 09:42:43.000000000;2087.0;N
2021-06-28 05:27:14.000000000;2021-07-29 05:55:27.000000000;2141.0;N
2021-03-31 07:22:00.000000000;2021-07-31 23:49:00.000000000;3284.0;2
2021-08-13 05:00:02.000000000;2021-08-27 09:11:52.000000000;2047.0;N
2021-07-19 09:42:43.000000000;2021-08-27 09:11:33.000000000;2087.0;N
2021-07-29 05:55:27.000000000;2021-08-27 09:11:29.000000000;2141.0;N
2021-03-31 07:22:00.000000000;2021-08-31 23:48:00.000000000;3284.0;2
2021-08-27 09:11:52.000000000;2021-09-30 23:59:00.000000000;2047.0;N
2021-08-27 09:11:33.000000000;2021-09-29 09:05:52.000000000;2087.0;N
2021-08-27 09:11:29.000000000;2021-09-30 23:59:00.000000000;2141.0;N
2021-03-31 07:22:00.000000000;2021-09-30 23:59:00.000000000;3284.0;2
2021-08-13 05:00:02.000000000;2021-10-09 01:47:25.000000000;2047.0;N
2021-06-02 02:53:07.000000000;2021-10-19 00:42:20.000000000;2087.0;N
2021-06-21 03:50:04.000000000;2021-10-11 19:48:20.000000000;2141.0;N
2021-03-31 07:22:00.000000000;2021-10-31 23:54:00.000000000;3284.0;2
2021-03-31 07:22:00.175787900;;3283.6165131401976;2
2021-03-31 07:22:00.175787900;;3283.627302242897;2
2021-03-31 07:22:00.175787900;;3283.6165131401976;2
2021-03-31 07:22:00.175787900;;3283.627198402233;2
2022-02-09 14:36:19.842035800;2022-02-16 06:49:46.078110900;2100.0731357496093;N
2022-02-16 06:49:46.093798000;2022-02-24 07:59:21.918265200;2100.0731357496093;3
2022-02-24 07:59:21.918265200;;2100.0731357496093;3
2021-03-31 07:22:00.175787900;;3283.6280867404053;2
2022-02-24 07:59:21.918265200;2022-03-07 07:25:18.594308400;2100.0712332519693;3
2022-03-07 07:25:18.610000800;;2100.0712332519693;3
