Component type;Length (m);Distance to start (m);Distance to end (m);Cumulative length (m)
RMU;-;0;4901;0.0
Termination (unknown);-;0;4901;0.0
Cable (PILC, 3 cores, belted);130;-;-;0.0
Joint (heat shrink);-;130;4771;130.0
Cable (PILC, 3 cores, belted);20;-;-;130.0
Joint (heat shrink);-;150;4751;150.0
Cable (XLPE, 3 cores, common earth screen);5;-;-;150.0
Joint (heat shrink);-;155;4746;155.0
Cable (PILC, 3 cores, belted);132;-;-;155.0
Joint (bitumen);-;287;4614;287.0
Cable (PILC, 3 cores, belted);41;-;-;287.0
Joint (bitumen);-;328;4573;328.0
Cable (PILC, 3 cores, belted);12;-;-;328.0
Joint (oil);-;340;4561;340.0
Cable (PILC, 3 cores, belted);52;-;-;340.0
Joint (oil);-;392;4509;392.0
Cable (PILC, 3 cores, belted);21;-;-;392.0
Termination (unknown);-;413;4488;413.0
RMU;-;413;4488;413.0
Termination (unknown);-;413;4488;413.0
Cable (PILC, 3 cores, belted);314;-;-;413.0
Joint (polymer, unknown);-;727;4174;727.0
Cable (PILC, 3 cores, belted);503;-;-;727.0
Joint (heat shrink);-;1230;3671;1230.0
Cable (PILC, 3 cores, belted);293;-;-;1230.0
Joint (heat shrink);-;1523;3378;1523.0
Cable (PILC, 3 cores, belted);157;-;-;1523.0
Joint (heat shrink);-;1680;3221;1680.0
Cable (XLPE, 3 cores, common earth screen);132;-;-;1680.0
Joint (heat shrink);-;1812;3089;1812.0
Cable (XLPE, 1 core);27;-;-;1812.0
Termination (unknown);-;1839;3062;1839.0
RMU;-;1839;3062;1839.0
Termination (unknown);-;1839;3062;1839.0
Cable (XLPE, 1 core);27;-;-;1839.0
Joint (heat shrink);-;1866;3035;1866.0
Cable (XLPE, 3 cores, common earth screen);133;-;-;1866.0
Joint (heat shrink);-;1999;2902;1999.0
Cable (PILC, 3 cores, belted);59;-;-;1999.0
Joint (heat shrink);-;2058;2843;2058.0
Cable (PILC, 3 cores, belted);253;-;-;2058.0
Joint (heat shrink);-;2311;2590;2311.0
Cable (PILC, 3 cores, belted);8;-;-;2311.0
Joint (heat shrink);-;2319;2582;2319.0
Cable (PILC, 3 cores, belted);104;-;-;2319.0
Joint (heat shrink);-;2423;2478;2423.0
Cable (PILC, 3 cores, belted);25;-;-;2423.0
Termination (unknown);-;2448;2453;2448.0
RMU;-;2448;2453;2448.0
Termination (unknown);-;2448;2453;2448.0
Cable (PILC, 3 cores, belted);492;-;-;2448.0
Joint (heat shrink);-;2940;1961;2940.0
Cable (PILC, 3 cores, belted);182;-;-;2940.0
Joint (heat shrink);-;3122;1779;3122.0
Cable (PILC, 3 cores, belted);16;-;-;3122.0
Termination (unknown);-;3138;1763;3138.0
RMU;-;3138;1763;3138.0
Termination (unknown);-;3138;1763;3138.0
Cable (PILC, 3 cores, belted);58;-;-;3138.0
Joint (oil);-;3196;1705;3196.0
Cable (PILC, 3 cores, belted);490;-;-;3196.0
Joint (oil);-;3686;1215;3686.0
Cable (PILC, 3 cores, belted);489;-;-;3686.0
Termination (unknown);-;4175;726;4175.0
RMU;-;4175;726;4175.0
Termination (unknown);-;4175;726;4175.0
Cable (PILC, 3 cores, belted);253;-;-;4175.0
Joint (heat shrink);-;4428;473;4428.0
Cable (PILC, 3 cores, belted);451;-;-;4428.0
Joint (heat shrink);-;4879;22;4879.0
Cable (PILC, 3 cores, belted);22;-;-;4879.0
Termination (unknown);-;4901;0;4901.0
RMU;-;4901;0;4901.0
