Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2020-11-13 15:32:24.000000000;2020-11-30 23:50:00.000000000;534.0;2
2020-11-13 15:32:24.000000000;2020-12-31 23:48:00.000000000;534.0;2
2020-12-21 15:23:32.000000000;2020-12-31 23:48:00.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-01-31 23:49:00.000000000;534.0;2
2020-12-21 15:23:32.000000000;2021-01-31 23:49:00.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-02-28 23:49:00.000000000;534.0;2
2020-12-21 15:23:32.000000000;2021-02-28 23:49:00.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-03-31 23:47:00.000000000;534.0;2
2020-12-21 15:23:32.000000000;2021-03-25 02:50:47.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-04-30 23:50:00.000000000;534.0;2
2021-03-25 02:50:47.000000000;2021-04-30 23:50:00.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-05-31 23:50:00.000000000;534.0;2
2021-05-12 08:45:31.000000000;2021-05-31 23:50:00.000000000;2303.0;N
2021-03-25 02:50:47.000000000;2021-05-31 23:50:00.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-06-30 23:49:00.000000000;534.0;2
2021-05-12 08:45:31.000000000;2021-06-28 15:13:11.000000000;2303.0;N
2021-03-25 02:50:47.000000000;2021-06-30 23:49:00.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-07-31 23:47:00.000000000;534.0;2
2021-07-30 07:24:07.000000000;2021-07-31 23:47:00.000000000;1042.0;N
2021-07-30 07:23:58.000000000;2021-07-31 23:47:00.000000000;1759.0;N
2020-12-21 15:23:32.000000000;2021-07-24 15:57:01.000000000;2963.0;N
2020-11-13 15:32:24.000000000;2021-08-31 23:49:00.000000000;534.0;2
2021-07-30 07:24:07.000000000;2021-08-27 08:51:15.000000000;1042.0;N
2021-07-30 07:23:58.000000000;2021-08-12 08:11:25.000000000;1759.0;N
2020-11-13 15:32:24.000000000;2021-09-30 23:59:00.000000000;534.0;2
2021-08-27 08:51:15.000000000;2021-09-30 23:59:00.000000000;1042.0;N
2021-08-12 08:11:25.000000000;2021-09-30 23:59:00.000000000;1759.0;N
2020-11-13 15:32:24.000000000;2021-10-31 23:59:00.000000000;534.0;2
2021-07-30 07:24:07.000000000;2021-10-11 21:49:19.000000000;1042.0;N
2021-08-12 08:11:25.000000000;2021-10-31 23:59:00.000000000;1758.0;N
2020-11-13 15:32:24.294440800;;533.8546979996313;2
2021-08-12 08:11:25.929550900;;1758.4888041194324;N
2021-11-12 03:34:39.928327200;2022-01-11 08:34:25.465495200;2878.973510863736;N
2020-11-13 15:32:24.294440800;;533.8546979996313;2
2021-08-12 08:11:25.929550900;;1758.4888041194324;N
2021-11-12 03:34:39.928327200;2022-01-11 08:34:25.465495200;2878.973510863736;N
2020-11-13 15:32:24.294440800;;533.8546979996313;2
2021-08-12 08:11:25.929550900;;1758.4888041194324;N
2021-11-12 03:34:39.928327200;2022-01-11 08:34:25.465495200;2878.973510863736;N
2022-01-11 08:34:25.481058300;;2878.973510863736;N
2020-11-13 15:32:24.294440800;;533.8546979996313;2
2021-08-12 08:11:25.929550900;;1758.4888041194324;N
2022-01-11 08:34:25.481058300;;2878.973510863736;N
2020-11-13 15:32:24.294440800;;533.8546979996313;2
2021-08-12 08:11:25.929550900;;1758.4888041194324;N
2022-01-11 08:34:25.481058300;;2878.973510863736;N
