Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2019-02-24 22:11:23.000;2019-02-28 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2019-03-31 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2019-04-30 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2019-05-31 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2019-06-30 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2019-07-31 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2019-08-30 22:59:00;1639.0;2
2019-02-24 22:11:23.000;2019-09-30 23:37:00;1639.0;2
2019-02-24 22:11:23.000;2019-10-31 23:59:00;1639.0;2
2019-11-11 12:46:50.000;2019-11-30 23:59:00;994.0;3
2019-02-24 22:11:23.000;2019-11-30 23:59:00;1639.0;2
2019-11-11 12:46:50.000;2019-12-31 23:59:00;994.0;3
2019-02-24 22:11:23.000;2019-12-31 23:59:00;1639.0;2
2019-11-11 12:46:50.000;2020-01-31 23:59:00;994.0;3
2019-02-24 22:11:23.000;2020-01-31 23:59:00;1639.0;2
2019-11-11 12:46:50.000;2020-02-26 00:47:01;994.0;3
2019-02-24 22:11:23.000;2020-02-29 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2020-03-31 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2020-04-30 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2020-05-18 12:00:00;1639.0;2
2019-02-24 22:11:23.000;2020-06-30 00:00:00;1639.0;2
2019-02-24 22:11:23.000;2020-07-31 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2020-08-31 23:59:00;1639.0;2
2019-02-24 22:11:23.000;2020-09-30 23:37:00;1639.0;2
2019-02-24 22:11:23.000;2020-10-31 23:48:00;1639.0;2
2019-02-24 22:11:23.000;2020-11-30 23:49:00;1639.0;2
2019-02-24 22:11:23.000;2020-12-31 23:49:00;1639.0;2
2019-02-24 22:11:23.000;2021-01-31 23:48:00;1639.0;2
2019-02-24 22:11:23.000;2021-02-28 23:49:00;1639.0;2
2021-03-25 02:25:54.000;2021-03-31 23:51:00;1622.0;N
2019-02-24 22:11:23.000;2021-03-31 23:51:00;1639.0;2
2021-03-25 02:25:54.000;2021-04-29 02:37:50;1622.0;N
2019-02-24 22:11:23.000;2021-04-30 23:48:00;1639.0;2
2021-04-29 02:37:50.000;2021-05-11 03:11:27;1622.0;N
2019-02-24 22:11:23.000;2021-05-31 23:48:00;1639.0;2
2021-06-22 08:23:02.000;2021-06-30 23:45:00;1603.0;N
2021-05-11 03:11:27.000;2021-06-15 02:44:55;1622.0;N
2019-02-24 22:11:23.000;2021-06-30 23:45:00;1639.0;2
2021-06-22 08:23:02.000;2021-07-29 06:17:43;1603.0;N
2021-03-25 02:25:54.000;2021-07-02 15:12:13;1622.0;N
2019-02-24 22:11:23.000;2021-07-31 23:34:00;1639.0;2
2021-06-22 08:23:02.000;2021-08-28 10:41:36;1603.0;N
2019-02-24 22:11:23.000;2021-08-31 23:34:00;1639.0;2
2019-02-24 22:11:23.000;2021-09-30 23:47:00;1639.0;2
2019-02-24 22:11:23.000;2021-10-31 23:56:00;1639.0;2
2019-02-24 22:11:23.743;;1638.8302573282115;2
2019-02-24 22:11:23.743;;1638.8302573282115;2
2019-02-24 22:11:23.743;;1638.8302573282115;2
2019-02-24 22:11:23.743;;1638.8302573282115;2
2019-02-24 22:11:23.743;;1638.8302573282115;2
