Start Date/time (UTC);End Date/time (UTC);Location in meters (m);SCG warning level (1 to 3 or Noise)
2018-06-22 13:51:44.000000000;2018-06-30 23:59:00.000000000;92.0;N
2018-06-01 15:22:52.000000000;2018-06-22 13:51:53.000000000;216.0;N
2018-06-01 15:22:52.000000000;2018-06-22 13:51:47.000000000;1277.0;N
2018-06-07 08:54:31.000000000;2018-06-22 13:51:50.000000000;3711.0;N
2018-06-22 13:51:44.000000000;2018-08-01 19:37:59.000000000;92.0;N
2018-06-22 13:51:53.000000000;2018-07-20 16:00:44.000000000;216.0;N
2018-06-01 15:22:52.000000000;2018-07-30 20:45:33.000000000;1277.0;N
2018-07-20 16:00:40.000000000;2018-08-01 19:37:44.000000000;1615.0;N
2018-06-22 13:51:50.000000000;2018-08-01 19:37:53.000000000;3711.0;N
2018-07-24 15:30:24.000000000;2018-08-13 13:47:52.000000000;92.0;N
2018-06-01 15:22:52.000000000;2018-08-05 11:45:28.000000000;216.0;N
2018-07-20 16:00:40.000000000;2018-08-01 19:37:44.000000000;1615.0;N
2018-06-07 08:54:31.000000000;2018-08-06 02:45:27.000000000;3711.0;N
2018-06-22 13:51:44.000000000;2018-09-18 17:45:37.000000000;92.0;N
2018-07-20 16:00:40.000000000;2018-09-17 13:45:35.000000000;1615.0;N
2019-06-03 05:44:57.000000000;2019-06-24 11:12:57.000000000;83.0;N
2019-06-24 11:12:57.000000000;2019-07-31 23:59:00.000000000;83.0;N
2019-06-24 11:12:57.000000000;2019-08-14 12:43:35.000000000;83.0;N
2019-06-03 05:44:57.000000000;2019-09-11 01:46:12.000000000;83.0;N
2020-04-10 15:11:06.000000000;2020-04-19 10:28:40.000000000;100.0;N
2020-04-19 10:28:40.000000000;2020-05-31 21:59:00.000000000;100.0;N
2020-04-19 10:28:40.000000000;2020-06-22 11:08:44.000000000;100.0;N
2020-06-22 11:08:44.000000000;2020-07-07 10:52:15.000000000;100.0;N
2020-07-07 10:52:15.000000000;2020-08-28 07:00:56.000000000;100.0;N
2020-08-28 07:00:56.000000000;2020-09-29 11:28:00.000000000;100.0;N
2020-08-28 07:00:56.000000000;2020-11-10 12:57:25.000000000;45.0;N
2020-04-10 15:11:06.000000000;2020-11-29 18:08:59.000000000;45.0;N
2020-11-11 10:08:49.000000000;2020-11-30 23:45:00.000000000;1212.0;2
2020-11-11 10:08:49.000000000;2020-12-31 23:49:00.000000000;1212.0;2
2020-11-11 10:08:49.000000000;2021-01-29 08:26:38.000000000;1212.0;2
2021-01-29 08:26:38.000000000;2021-02-15 16:25:00.000000000;1212.0;2
2021-03-23 07:11:59.000000000;2021-03-31 23:52:00.000000000;118.0;N
2021-02-15 16:25:00.000000000;2021-03-11 04:50:46.000000000;1212.0;2
2021-03-23 07:11:59.000000000;2021-04-30 23:51:00.000000000;118.0;N
2021-03-11 04:50:46.000000000;2021-04-30 23:51:00.000000000;1212.0;2
2021-03-23 07:11:59.000000000;2021-05-31 23:51:00.000000000;118.0;N
2021-03-11 04:50:46.000000000;2021-05-31 23:51:00.000000000;1212.0;2
2021-03-23 07:11:59.000000000;2021-06-30 23:59:00.000000000;118.0;N
2021-03-11 04:50:46.000000000;2021-06-30 23:59:00.000000000;1212.0;2
2021-03-23 07:11:59.000000000;2021-07-31 23:56:00.000000000;118.0;N
2021-03-11 04:50:46.000000000;2021-07-31 23:56:00.000000000;1212.0;2
2021-03-23 07:11:59.000000000;2021-08-31 23:59:00.000000000;118.0;N
2021-03-11 04:50:46.000000000;2021-08-31 23:59:00.000000000;1212.0;2
2021-08-31 02:22:14.000000000;2021-08-31 23:59:00.000000000;1678.0;N
2021-03-23 07:11:59.000000000;2021-10-04 03:42:29.000000000;118.0;N
2021-09-20 03:33:08.000000000;2021-09-27 04:49:53.000000000;1176.0;N
2021-03-11 04:50:46.000000000;2021-10-04 03:42:11.000000000;1212.0;2
2021-09-14 09:20:48.000000000;2021-09-27 04:50:46.000000000;1243.0;N
2021-08-31 02:22:14.000000000;2021-09-27 04:50:39.000000000;1678.0;N
